행정구역,2011년_총인구수,2011년_세대수,2011년_세대당 인구,2011년_남자 인구수,2011년_여자 인구수,2011년_남여 비율,2012년_총인구수,2012년_세대수,2012년_세대당 인구,2012년_남자 인구수,2012년_여자 인구수,2012년_남여 비율,2013년_총인구수,2013년_세대수,2013년_세대당 인구,2013년_남자 인구수,2013년_여자 인구수,2013년_남여 비율,2014년_총인구수,2014년_세대수,2014년_세대당 인구,2014년_남자 인구수,2014년_여자 인구수,2014년_남여 비율,2015년_총인구수,2015년_세대수,2015년_세대당 인구,2015년_남자 인구수,2015년_여자 인구수,2015년_남여 비율,2016년_총인구수,2016년_세대수,2016년_세대당 인구,2016년_남자 인구수,2016년_여자 인구수,2016년_남여 비율,2017년_총인구수,2017년_세대수,2017년_세대당 인구,2017년_남자 인구수,2017년_여자 인구수,2017년_남여 비율,2018년_총인구수,2018년_세대수,2018년_세대당 인구,2018년_남자 인구수,2018년_여자 인구수,2018년_남여 비율,2019년_총인구수,2019년_세대수,2019년_세대당 인구,2019년_남자 인구수,2019년_여자 인구수,2019년_남여 비율,2020년_총인구수,2020년_세대수,2020년_세대당 인구,2020년_남자 인구수,2020년_여자 인구수,2020년_남여 비율
서울특별시 은평구 ,"493,634","197,582",2.5,"242,779","250,855",0.97,"501,480","200,502",2.5,"246,318","255,162",0.97,"503,660","202,487",2.49,"246,858","256,802",0.96,"498,644","202,187",2.47,"243,977","254,667",0.96,"497,920","203,410",2.45,"242,975","254,945",0.95,"491,476","201,891",2.43,"239,183","252,293",0.95,"486,794","202,839",2.4,"236,353","250,441",0.94,"483,197","205,001",2.36,"233,702","249,495",0.94,"480,032","207,681",2.31,"231,528","248,504",0.93,"479,835","213,914",2.24,"230,279","249,556",0.92
서울특별시 서대문구 ,"314,852","134,730",2.34,"154,033","160,819",0.96,"315,113","135,104",2.33,"154,017","161,096",0.96,"314,110","135,272",2.32,"153,315","160,795",0.95,"310,376","134,780",2.3,"151,338","159,038",0.95,"312,141","135,770",2.3,"152,008","160,133",0.95,"314,194","136,766",2.3,"152,510","161,684",0.94,"312,800","137,266",2.28,"151,144","161,656",0.93,"310,313","138,549",2.24,"149,569","160,744",0.93,"309,397","140,157",2.21,"148,663","160,734",0.92,"312,173","144,838",2.16,"149,360","162,813",0.92
서울특별시 마포구 ,"389,493","168,640",2.31,"189,243","200,250",0.95,"384,644","166,722",2.31,"186,452","198,192",0.94,"381,856","166,780",2.29,"184,774","197,082",0.94,"385,439","169,492",2.27,"186,177","199,262",0.93,"387,643","171,480",2.26,"186,495","201,148",0.93,"379,892","169,432",2.24,"182,162","197,730",0.92,"374,915","169,408",2.21,"178,939","195,976",0.91,"375,077","172,505",2.17,"178,240","196,837",0.91,"374,035","175,023",2.14,"176,891","197,144",0.9,"371,890","178,482",2.08,"175,150","196,740",0.89
서울특별시 양천구 ,"500,210","182,677",2.74,"248,927","251,283",0.99,"495,911","181,135",2.74,"246,637","249,274",0.99,"492,528","180,443",2.73,"244,742","247,786",0.99,"486,221","179,069",2.72,"241,020","245,201",0.98,"484,532","179,512",2.7,"239,995","244,537",0.98,"477,739","177,434",2.69,"236,290","241,449",0.98,"471,154","176,649",2.67,"232,518","238,636",0.97,"464,185","176,498",2.63,"228,634","235,551",0.97,"458,165","177,256",2.58,"225,186","232,979",0.97,"454,251","180,633",2.51,"222,824","231,427",0.96
서울특별시 강서구 ,"569,072","223,490",2.55,"280,274","288,798",0.97,"567,431","223,708",2.54,"278,969","288,462",0.97,"569,070","226,607",2.51,"279,207","289,863",0.96,"585,160","234,378",2.5,"286,644","298,516",0.96,"589,074","238,952",2.47,"287,947","301,127",0.96,"595,485","245,045",2.43,"290,478","305,007",0.95,"601,691","254,257",2.37,"292,989","308,702",0.95,"596,949","258,503",2.31,"290,079","306,870",0.95,"591,796","262,708",2.25,"286,563","305,233",0.94,"580,185","266,982",2.17,"280,034","300,151",0.93
서울특별시 구로구 ,"427,468","171,064",2.5,"215,474","211,994",1.02,"427,520","171,498",2.49,"214,982","212,538",1.01,"424,964","171,419",2.48,"213,251","211,713",1.01,"425,831","172,594",2.47,"213,213","212,618",1,"422,092","172,321",2.45,"210,440","211,652",0.99,"417,551","172,220",2.42,"207,667","209,884",0.99,"410,742","171,570",2.39,"204,003","206,739",0.99,"404,497","172,457",2.35,"200,417","204,080",0.98,"406,664","176,568",2.3,"200,987","205,677",0.98,"404,408","180,531",2.24,"199,673","204,735",0.98
서울특별시 금천구 ,"243,438","103,600",2.35,"124,665","118,773",1.05,"243,288","104,357",2.33,"124,675","118,613",1.05,"241,020","104,179",2.31,"123,462","117,558",1.05,"238,463","103,940",2.29,"121,878","116,585",1.05,"236,284","103,847",2.28,"120,604","115,680",1.04,"235,386","104,483",2.25,"119,885","115,501",1.04,"235,154","106,066",2.22,"119,497","115,657",1.03,"233,917","107,971",2.17,"118,915","115,002",1.03,"232,810","110,622",2.1,"118,209","114,601",1.03,"231,733","114,715",2.02,"117,226","114,507",1.02
서울특별시 영등포구 ,"397,443","168,850",2.35,"199,987","197,456",1.01,"391,408","167,685",2.33,"196,765","194,643",1.01,"386,471","167,761",2.3,"193,880","192,591",1.01,"382,352","168,100",2.27,"191,464","190,888",1,"378,504","167,863",2.25,"189,394","189,110",1,"370,613","165,729",2.24,"185,200","185,413",1,"368,550","167,355",2.2,"183,975","184,575",1,"367,778","171,085",2.15,"183,224","184,554",0.99,"367,678","174,806",2.1,"182,438","185,240",0.98,"379,480","184,714",2.05,"187,647","191,833",0.98
서울특별시 동작구 ,"401,408","167,099",2.4,"197,672","203,736",0.97,"405,491","169,293",2.4,"199,454","206,037",0.97,"410,815","172,700",2.38,"202,144","208,671",0.97,"407,470","172,389",2.36,"200,328","207,142",0.97,"400,641","170,495",2.35,"196,463","204,178",0.96,"400,997","172,506",2.32,"196,267","204,730",0.96,"396,217","172,995",2.29,"193,255","202,962",0.95,"396,203","177,176",2.24,"192,533","203,670",0.95,"395,963","180,753",2.19,"191,976","203,987",0.94,"391,220","184,229",2.12,"189,152","202,068",0.94
서울특별시 관악구 ,"526,397","246,979",2.13,"267,145","259,252",1.03,"523,029","247,598",2.11,"265,281","257,748",1.03,"518,028","248,006",2.09,"262,248","255,780",1.03,"513,186","248,180",2.07,"259,631","253,555",1.02,"509,663","249,191",2.05,"257,491","252,172",1.02,"506,851","251,955",2.01,"256,143","250,708",1.02,"503,297","255,352",1.97,"253,661","249,636",1.02,"501,957","262,222",1.91,"252,160","249,797",1.01,"500,094","268,559",1.86,"251,009","249,085",1.01,"495,060","274,811",1.8,"248,339","246,721",1.01
서울특별시 서초구 ,"433,564","168,988",2.57,"209,902","223,662",0.94,"435,044","168,878",2.58,"210,440","224,604",0.94,"441,763","170,594",2.59,"213,285","228,478",0.93,"449,678","173,469",2.59,"216,740","232,938",0.93,"446,764","173,007",2.58,"214,737","232,027",0.93,"447,192","173,970",2.57,"214,673","232,519",0.92,"441,102","173,594",2.54,"211,236","229,866",0.92,"433,951","172,918",2.51,"207,868","226,083",0.92,"430,826","173,199",2.49,"206,039","224,787",0.92,"425,126","173,502",2.45,"203,359","221,767",0.92
서울특별시 강남구 ,"565,710","231,983",2.44,"271,991","293,719",0.93,"564,197","230,755",2.45,"270,970","293,227",0.92,"563,599","230,645",2.44,"270,601","292,998",0.92,"578,114","237,375",2.44,"277,267","300,847",0.92,"576,495","237,373",2.43,"276,425","300,070",0.92,"567,115","234,080",2.42,"271,604","295,511",0.92,"556,164","231,612",2.4,"266,442","289,722",0.92,"542,364","228,775",2.37,"259,611","282,753",0.92,"545,169","232,981",2.34,"260,806","284,363",0.92,"539,231","234,872",2.3,"257,999","281,232",0.92
서울특별시 송파구 ,"682,209","261,963",2.6,"334,494","347,715",0.96,"673,115","257,852",2.61,"329,747","343,368",0.96,"668,415","257,441",2.6,"326,919","341,496",0.96,"664,738","257,207",2.58,"324,902","339,836",0.96,"660,302","256,611",2.57,"322,441","337,861",0.95,"657,831","258,382",2.55,"320,557","337,274",0.95,"664,496","264,628",2.51,"323,147","341,349",0.95,"666,635","270,866",2.46,"323,526","343,109",0.94,"675,961","278,711",2.43,"327,164","348,797",0.94,"667,960","281,959",2.37,"322,299","345,661",0.93
서울특별시 강동구 ,"495,138","190,392",2.6,"247,973","247,165",1,"487,905","187,490",2.6,"244,172","243,733",1,"483,379","186,764",2.59,"241,503","241,876",1,"476,597","185,905",2.56,"237,816","238,781",1,"458,658","180,508",2.54,"228,709","229,949",0.99,"444,168","177,460",2.5,"221,118","223,050",0.99,"436,223","177,407",2.46,"216,777","219,446",0.99,"427,573","177,247",2.41,"211,816","215,757",0.98,"436,067","183,390",2.38,"215,335","220,732",0.98,"459,970","196,499",2.34,"226,216","233,754",0.97
